title,journal,pubmed_id,gseID
A Pooled Single-Cell Genetic Screen Identifies Regulatory Checkpoints In The Continuum Of The Epithelial-To-Mesenchymal Transition,Nature genetics,31477929,notAvailable
Heterogeneity Of Human Bone Marrow And Blood Natural Killer Cells Defined By Single-Cell Transcriptome,Nature communications,31477722,GSE130430
Single-Cell Transcriptomics Reveals Multi-Step Adaptations To Endocrine Therapy,Nature communications,31477698,GSE122743
Complex Oscillatory Waves Emerging From Cortical Organoids Model Early Human Brain Network Development,Cell stem cell,31474560,notAvailable
Single-Cell Analysis Of Crohn'S Disease Lesions Identifies A Pathogenic Cellular Module Associated With Resistance To Anti-Tnf Therapy,Cell,31474370,notAvailable
Data Denoising With Transfer Learning In Single-Cell Transcriptomics,Nature methods,31471617,notAvailable
Position Β57 Of I-,Science immunology,31471352,notAvailable
Identification Of Somatic Mutations In Single Cell Dna-Seq Using A Spatial Model Of Allelic Imbalance,Nature communications,31467286,notAvailable
Liquid Biopsy-Based Single-Cell Metabolic Phenotyping Of Lung Cancer Patients For Informative Diagnostics,Nature communications,31451693,notAvailable
Single-Cell Profiling Guided Combinatorial Immunotherapy For Fast-Evolving Cdk4/6 Inhibitor-Resistant Her2-Positive Breast Cancer,Nature communications,31444334,GSE122336
B1 Oligomerization Regulates Pml Nuclear Body Biogenesis And Leukemogenesis,Nature communications,31439836,notAvailable
The Malaria Cell Atlas: Single Parasite Transcriptomes Across The Complete,"Science (New York, N.Y.)",31439762,notAvailable
Conserved Cell Types With Divergent Features In Human Versus Mouse Cortex,Nature,31435019,notAvailable
Reconstituting The Transcriptome And Dna Methylome Landscapes Of Human Implantation,Nature,31435013,GSE109555
Metabolic Landscape Of The Tumor Microenvironment At Single Cell Resolution,Nature communications,31434891,notAvailable
Molecular Mechanisms Of Lineage Decisions In Metabolite-Specific T Cells,Nature immunology,31431722,notAvailable
Mapping Histone Modifications In Low Cell Number And Single Cells Using Antibody-Guided Chromatin Tagmentation (Act-Seq),Nature communications,31431618,GSE125971
Defining The Identity And Dynamics Of Adult Gastric Isthmus Stem Cells,Cell stem cell,31422913,notAvailable
Single Cell Transcriptome Analysis Of Developing Arcuate Nucleus Neurons Uncovers Their Key Developmental Regulators,Nature communications,31420539,GSE126480
Dissecting The Heterogeneity Of Denv Vaccine-Elicited Cellular Immunity Using Single-Cell Rna Sequencing And Metabolic Profiling,Nature communications,31413301,GSE132950
A General Approach For Detecting Expressed Mutations In Aml Cells Using Single Cell Rna-Sequencing,Nature communications,31413257,notAvailable
A Dream Of Single-Cell Proteomics,Nature methods,31406385,notAvailable
An Nfil3-Zeb2-Id2 Pathway Imposes Irf8 Enhancer Switching During Cdc1 Development,Nature immunology,31406377,notAvailable
Single-Cell Dna Replication Profiling Identifies Spatiotemporal Developmental Dynamics Of Chromosome Organization,Nature genetics,31406346,notAvailable
Exploring Genetic Interaction Manifolds Constructed From Rich Single-Cell Phenotypes,"Science (New York, N.Y.)",31395745,notAvailable
A Single-Cell Window Into Pancreas Cancer Fibroblast Heterogeneity,Cancer discovery,31371323,notAvailable
Cell-Type-Specific Resolution Epigenetics Without The Need For Cell Sorting Or Single-Cell Biology,Nature communications,31366909,GSE131989
Gene Expression Atlas Of A Developing Tissue By Single Cell Expression Correlation Analysis,Nature methods,31363221,GSE127832
The Transcription Factor Tcf-1 Enforces Commitment To The Innate Lymphoid Cell Lineage,Nature immunology,31358996,GSE128483
Single-Cell Cas-Seq Reveals A Class Of Short Piwi-Interacting Rnas In Human Oocytes,Nature communications,31358756,GSE095218
Neuropeptide Cgrp Limits Group 2 Innate Lymphoid Cell Responses And Constrains Type 2 Inflammation,Immunity,31353223,GSE131996
Activation Dynamics And Immunoglobulin Evolution Of Pre-Existing And Newly Generated Human Memory B Cell Responses To Influenza Hemagglutinin,Immunity,31350180,GSE132923
Single-Cell Analysis Of Cardiogenesis Reveals Basis For Organ-Level Developmental Defects,Nature,31341279,GSE126128
Gm-Csf And Cxcr4 Define A T Helper Cell Signature In Multiple Sclerosis,Nature medicine,31332391,notAvailable
Hokb Monomerization And Membrane Repolarization Control Persister Awakening,Molecular cell,31327636,notAvailable
Genetic Mapping Of Cell Type Specificity For Complex Traits,Nature communications,31324783,notAvailable
Single-Cell Reconstruction Of Follicular Remodeling In The Human Adult Ovary,Nature communications,31320652,GSE118127
High-Throughput Targeted Long-Read Single Cell Sequencing Reveals The Clonal And Transcriptional Landscape Of Lymphocytes,Nature communications,31311926,notAvailable
Generation Of Human Psc-Derived Kidney Organoids With Patterned Nephron Segments And A De Novo Vascular Network,Cell stem cell,31303547,GSE132026_GSE132023_GSE131841
A Single-Cell Transcriptomic Atlas Of Human Neocortical Development During Mid-Gestation,Neuron,31303374,notAvailable
Single-Cell Rna Sequencing In Cancer: Lessons Learned And Emerging Challenges,Molecular cell,31299208,notAvailable
Comprehensive Single-Cell Transcriptome Lineages Of A Proto-Vertebrate,Nature,31292549,GSE131155
Stress-Induced Changes In Bone Marrow Stromal Cell Populations Revealed Through Single-Cell Protein Expression Mapping,Cell stem cell,31279774,notAvailable
Accurate Estimation Of Cell-Type Composition From Gene Expression Data,Nature communications,31278265,GSE124419
Somatic Mutations And Cell Identity Linked By Genotyping Of Transcriptomes,Nature,31270458,GSE117826_GSE117825_GSE117824
Subclonal Cooperation Drives Metastasis By Modulating Local And Systemic Immune Microenvironments,Nature cell biology,31263265,notAvailable
"Inadequate Dna Damage Repair Promotes Mammary Transdifferentiation, Leading To Brca1 Breast Cancer",Cell,31251913,GSE114787
Obesity Remodels Activity And Transcriptional State Of A Lateral Hypothalamic Brake On Feeding,"Science (New York, N.Y.)",31249056,notAvailable
Pediatric Patients With Acute Lymphoblastic Leukemia Generate Abundant And Functional Neoantigen-Specific Cd,Science translational medicine,31243155,GSE130670
Single-Cell Rna Sequencing Of The T Helper Cell Response To House Dust Mites Defines A Distinct Gene Expression Signature In Airway Th2 Cells,Immunity,31231035,GSE131937_GSE131935
Single-Cell Transcriptomic Analyses Of Cell Fate Transitions During Human Cardiac Reprogramming,Cell stem cell,31230860,GSE106888
Line-1 Evasion Of Epigenetic Repression In Humans,Molecular cell,31230816,notAvailable
"An 80,000-Piece Puzzle Of Alzheimer'S Disease",Immunity,31216459,notAvailable
Single-Cell Rna-Seq Reveals Tox As A Key Regulator Of Cd,Nature immunology,31209400,GSE119943_GSE119942_GSE119941_GSE119940
Sensory Lesioning Induces Microglial Synapse Elimination Via Adam10 And Fractalkine Signaling,Nature neuroscience,31209379,GSE129150
Author Correction: Single-Cell Transcriptomic Analysis Of Alzheimer'S Disease,Nature,31209304,notAvailable
Patterns Of Early P21 Dynamics Determine Proliferation-Senescence Cell Fate After Chemotherapy,Cell,31204100,notAvailable
Neural Effects Of Transcranial Magnetic Stimulation At The Single-Cell Level,Nature communications,31201331,notAvailable
A Subset Of Skin Macrophages Contributes To The Surveillance And Regeneration Of Local Nerves,Immunity,31201094,GSE115030_GSE114526_GSE114525_GSE085483
Beginning Of A New Era: Mapping The Bone Marrow Niche,Cell,31199915,notAvailable
Simulating Multiple Faceted Variability In Single Cell Rna Sequencing,Nature communications,31197158,GSE075111_GSE075110_GSE075109_GSE075108_GSE075107_GSE075106_GSE075105_GSE075104_GSE075103_GSE074833
Cross-Species Single-Cell Analysis Of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts,Cancer discovery,31197017,GSE129455
Harnessing Hematopoietic Stem Cell Low Intracellular Calcium Improves Their Maintenance In Vitro,Cell stem cell,31178255,notAvailable
Geometric Sketching Compactly Summarizes The Single-Cell Transcriptomic Landscape,Cell systems,31176620,GSE130881
Spatiotemporal Structure Of Cell Fate Decisions In Murine Neural Crest,"Science (New York, N.Y.)",31171666,GSE129114
Inhibition Of Hyperglycolysis In Mesothelial Cells Prevents Peritoneal Fibrosis,Science translational medicine,31167927,GSE130888_GSE130387
A Comprehensive Single Cell Transcriptional Landscape Of Human Hematopoietic Progenitors,Nature communications,31160568,GSE117498
Age-Dependent Deterioration Of Nuclear Pore Assembly In Mitotic Cells Decreases Transport Dynamics,eLife,31157618,notAvailable
High-Throughput Single-Cell Chip-Seq Identifies Heterogeneity Of Chromatin States In Breast Cancer,Nature genetics,31152164,GSE117309
Expanding The Single-Cell Genomics Toolkit,Nature genetics,31152159,notAvailable
A Cellular-Resolution Atlas Of The Larval Zebrafish Brain,Neuron,31147152,notAvailable
Identification Of Two Distinct Pathways Of Human Myelopoiesis,Science immunology,31126997,GSE113046
"Decomposing Cell Identity For Transfer Learning Across Cellular Measurements, Platforms, Tissues, And Species",Cell systems,31121116,GSE118880
Distinct Surface Expression Of Activating Receptor Ly49H Drives Differential Expansion Of Nk Cell Clones Upon Murine Cytomegalovirus Infection,Immunity,31103380,notAvailable
Analysis Of The Human Kinome And Phosphatome By Mass Cytometry Reveals Overexpression-Induced Effects On Cancer-Related Signaling,Molecular cell,31101498,notAvailable
Identification Of A Regeneration-Organizing Cell In The,"Science (New York, N.Y.)",31097661,notAvailable
Epigenetic Evolution And Lineage Histories Of Chronic Lymphocytic Leukaemia,Nature,31092926,notAvailable
Distinct Modes Of Cell Competition Shape Mammalian Tissue Morphogenesis,Nature,31092920,GSE128241_GSE075931
Hydro-Seq Enables Contamination-Free High-Throughput Single-Cell Rna-Sequencing For Circulating Tumor Cells,Nature communications,31092822,notAvailable
Hsv-1 Single-Cell Analysis Reveals The Activation Of Anti-Viral And Developmental Programs In Distinct Sub-Populations,eLife,31090537,GSE126042
Clonal Selection With Ras Pathway Activation Mediates Secondary Clinical Resistance To Selective Flt3 Inhibition In Acute Myeloid Leukemia,Cancer discovery,31088841,notAvailable
Single-Cell Analysis Of The Liver Epithelium Reveals Dynamic Heterogeneity And An Essential Role For Yap In Homeostasis And Regeneration,Cell stem cell,31080134,GSE125688
Hbeg,Science translational medicine,31068444,GSE095588
Mammalian Cell Growth Dynamics In Mitosis,eLife,31063131,notAvailable
A Single-Cell Atlas Of Mouse Brain Macrophages Reveals Unique Transcriptional Identities Shaped By Ontogeny And Tissue Environment,Nature neuroscience,31061494,GSE128855_GSE128854_GSE128781
Distinct Immunocyte-Promoting And Adipocyte-Generating Stromal Components Coordinate Adipose Tissue Immune And Metabolic Tenors,Science immunology,31053654,GSE127005_GSE126891
Vip Interneurons Contribute To Avoidance Behavior By Regulating Information Flow Across Hippocampal-Prefrontal Networks,Neuron,31053407,notAvailable
Voltage Imaging And Optogenetics Reveal Behaviour-Dependent Changes In Hippocampal Dynamics,Nature,31043747,notAvailable
Single-Cell Transcriptomic Analysis Of Alzheimer'S Disease,Nature,31042697,notAvailable
Instantaneous Isotropic Volumetric Imaging Of Fast Biological Processes,Nature methods,31036959,notAvailable
"Single Cell, Super-Resolution Imaging Reveals An Acid Ph-Dependent Conformational Switch In Ssrb Regulates Spi-2",eLife,31033442,notAvailable
Adaptive Immune Resistance Emerges From Tumor-Initiating Stem Cells,Cell,31031009,GSE108679
Visualizing Engrafted Human Cancer And Therapy Responses In Immunodeficient Zebrafish,Cell,31031007,notAvailable
Human Pre-Valvular Endocardial Cells Derived From Pluripotent Stem Cells Recapitulate Cardiac Pathophysiological Valvulogenesis,Nature communications,31028265,GSE073620_GSE073546
Neocortical Projection Neurons Instruct Inhibitory Interneuron Circuit Development In A Lineage-Dependent Manner,Neuron,31027966,notAvailable
Performance Assessment And Selection Of Normalization Procedures For Single-Cell Rna-Seq,Cell systems,31022373,notAvailable
Single-Cell Transcriptomes Of The Regenerating Intestine Reveal A Revival Stem Cell,Nature,31019301,GSE123516_GSE123515_GSE117783
Self-Organization And Symmetry Breaking In Intestinal Organoid Development,Nature,31019299,GSE115958_GSE115956_GSE115955
Author Correction: Single-Cell Analysis Of Mixed-Lineage States Leading To A Binary Cell Fate Choice,Nature,31019298,notAvailable
Publisher Correction: Elastomeric Sensor Surfaces For High-Throughput Single-Cell Force Cytometry,Nature biomedical engineering,31015734,notAvailable
"Single-Cell Trajectories Reconstruction, Exploration And Mapping Of Omics Data With Stream",Nature communications,31015418,notAvailable
Bacterial Chemotaxis In A Microfluidic T-Maze Reveals Strong Phenotypic Heterogeneity In Chemotactic Sensitivity,Nature communications,31015402,notAvailable
Corrupted Coordination Of Epigenetic Modifications Leads To Diverging Chromatin States And Transcriptional Heterogeneity In Cll,Nature communications,31015400,GSE119103_GSE109085
Dishevelled-3 Conformation Dynamics Analyzed By Fret-Based Biosensors Reveals A Key Role Of Casein Kinase 1,Nature communications,31000703,notAvailable
Origin And Differentiation Trajectories Of Fibroblastic Reticular Cells In The Splenic White Pulp,Nature communications,30988302,notAvailable
Single-Cell Transcriptomics Uncovers Glial Progenitor Diversity And Cell Fate Determinants During Development And Gliomagenesis,Cell stem cell,30982771,GSE122871
A Single-Cell Atlas Of The Tumor And Immune Ecosystem Of Human Breast Cancer,Cell,30982598,notAvailable
Volumetric C,Cell,30982596,notAvailable
Human Pluripotency Is Initiated And Preserved By A Unique Subset Of Founder Cells,Cell,30982595,notAvailable
Single-Cell Transcriptomics Of Human And Mouse Lung Cancers Reveals Conserved Myeloid Populations Across Individuals And Species,Immunity,30979687,GSE127465
The Bone Marrow Microenvironment At Single-Cell Resolution,Nature,30971824,GSE123078_GSE118436_GSE108892_GSE108891_GSE108885
Opto-Magnetic Capture Of Individual Cells Based On Visual Phenotypes,eLife,30969169,notAvailable
A Bayesian Mixture Model For Clustering Droplet-Based Single-Cell Transcriptomic Data From Population Studies,Nature communications,30967541,GSE128066
"High-Throughput, Label-Free, Single-Cell Photoacoustic Microscopy Of Intratumoral Metabolic Heterogeneity",Nature biomedical engineering,30936431,notAvailable
A Subset Of Trem,Cell stem cell,30930146,GSE108709
An Id,Immunity,30926235,notAvailable
Single-Cell Chromatin Immunocleavage Sequencing (Scchic-Seq) To Profile Histone Modification,Nature methods,30923384,GSE105012
Author Correction: Single-Cell Profiling Reveals Heterogeneity And Functional Patterning Of Gpcr Expression In The Vascular System,Nature communications,30923344,notAvailable
High-Dimensional Single-Cell Cartography Reveals Novel Skeletal Muscle-Resident Cell Populations,Molecular cell,30922843,GSE110878
"Single-Cell Expression Profiling Reveals Dynamic Flux Of Cardiac Stromal, Vascular And Immune Cells In Health And Injury",eLife,30912746,notAvailable
Transcriptome-Scale Super-Resolved Imaging In Tissues By Rna Seqfish,Nature,30911168,notAvailable
Precise Gene Editing Preserves Hematopoietic Stem Cell Function Following Transient P53-Mediated Dna Damage Response,Cell stem cell,30905619,GSE126163_GSE126120_GSE119597_GSE119594_GSE119584
Target-Seq Takes Aim At Cancer Evolution Through Multi-Omics Single-Cell Genotyping And Transcriptomics,Molecular cell,30901562,notAvailable
Factors Influencing Meiotic Recombination Revealed By Whole-Genome Sequencing Of Single Sperm,"Science (New York, N.Y.)",30898902,GSE125327_GSE125326_GSE124991
Damage On Plants Activates C,"Science (New York, N.Y.)",30898901,notAvailable
Linked-Read Analysis Identifies Mutations In Single-Cell Dna-Sequencing Data,Nature genetics,30886424,notAvailable
Complementary Networks Of Cortical Somatostatin Interneurons Enforce Layer Specific Control,eLife,30883329,notAvailable
Single-Cell Proteomics Reveal That Quantitative Changes In Co-Expressed Lineage-Specific Transcription Factors Determine Cell Fate,Cell stem cell,30880026,notAvailable
Single Cell Rna-Seq Identifies The Origins Of Heterogeneity In Efficient Cell Transdifferentiation And Reprogramming,eLife,30860479,GSE112004
Altered Neuronal Migratory Trajectories In Human Cerebral Organoids Derived From Individuals With Neuronal Heterotopia,Nature medicine,30858616,GSE124031
Single-Cell Transcriptomic Analysis Of The Lateral Hypothalamic Area Reveals Molecularly Distinct Populations Of Inhibitory And Excitatory Neurons,Nature neuroscience,30858605,GSE125065
Generation And Persistence Of Human Tissue-Resident Memory T Cells In Lung Transplantation,Science immunology,30850393,GSE124675
Microglial Function Is Distinct In Different Anatomical Locations During Retinal Homeostasis And Degeneration,Immunity,30850344,GSE126783
Single-Cell Rna-Seq Reveals Aml Hierarchies Relevant To Disease Progression And Immunity,Cell,30827681,GSE116256
