,gseID,journal,pubmed_id,title
0,notAvailable,Nature genetics,31477929,
1,GSE130430,Nature communications,31477722,
2,GSE122743,Nature communications,31477698,
3,notAvailable,Cell stem cell,31474560,
4,notAvailable,Cell,31474370,
5,notAvailable,Nature methods,31471617,
6,notAvailable,Science immunology,31471352,
7,notAvailable,Nature communications,31467286,
8,notAvailable,Nature communications,31451693,
9,GSE122336,Nature communications,31444334,
10,notAvailable,Nature communications,31439836,
11,notAvailable,"Science (New York, N.Y.)",31439762,
12,notAvailable,Nature,31435019,
13,GSE109555,Nature,31435013,
14,notAvailable,Nature communications,31434891,
15,notAvailable,Nature immunology,31431722,
16,GSE125971,Nature communications,31431618,
17,notAvailable,Cell stem cell,31422913,
18,GSE126480,Nature communications,31420539,
19,GSE132950,Nature communications,31413301,
20,notAvailable,Nature communications,31413257,
21,notAvailable,Nature methods,31406385,
22,notAvailable,Nature immunology,31406377,
23,notAvailable,Nature genetics,31406346,
24,notAvailable,"Science (New York, N.Y.)",31395745,
25,notAvailable,Cancer discovery,31371323,
26,GSE131989,Nature communications,31366909,
27,GSE127832,Nature methods,31363221,
28,GSE128483,Nature immunology,31358996,
29,GSE95218,Nature communications,31358756,
30,GSE131996,Immunity,31353223,
31,GSE132923,Immunity,31350180,
32,GSE126128,Nature,31341279,
33,notAvailable,Nature medicine,31332391,
34,notAvailable,Molecular cell,31327636,
35,notAvailable,Nature communications,31324783,
36,GSE118127,Nature communications,31320652,
37,notAvailable,Nature communications,31311926,
38,GSE132026_GSE132023_GSE131841,Cell stem cell,31303547,
39,notAvailable,Neuron,31303374,
40,notAvailable,Molecular cell,31299208,
41,GSE131155,Nature,31292549,
42,notAvailable,Cell stem cell,31279774,
43,GSE124419,Nature communications,31278265,
44,GSE117826_GSE117825_GSE117824,Nature,31270458,
45,notAvailable,Nature cell biology,31263265,
46,GSE114787,Cell,31251913,
47,notAvailable,"Science (New York, N.Y.)",31249056,
48,GSE130670,Science translational medicine,31243155,
49,GSE131937_GSE131935,Immunity,31231035,
50,GSE106888,Cell stem cell,31230860,
51,notAvailable,Molecular cell,31230816,
52,notAvailable,Immunity,31216459,
